index,section,text,is_burden,part
0,AODA Purpose,"Recognizing the history of discrimination against persons with disabilities in Ontario, the purpose of this Act is to benefit all Ontarians by, developing, implementing and enforcing accessibility standards in order to achieve accessibility for Ontarians with disabilities with respect to goods, services, facilities, accommodation, employment, buildings, structures and premises on or before January 1, 2025; and providing for the involvement of persons with disabilities, of the Government of Ontario and of representatives of industries and of various sectors of the economy in the development of the accessibility standards.",0,INTERPRETATION
1,AODA Definitions,"In this Act, “accessibility standard” means an accessibility standard made by regulation under section 6; (“norme d’accessibilité",0,INTERPRETATION
2,AODA Definitions,"”) “barrier” means anything that prevents a person with a disability from fully participating in all aspects of society because of his or her disability, including a physical barrier, an architectural barrier, an information or communications barrier, an attitudinal barrier, a technological barrier, a policy or a practice; (“obstacle”) “director” means a director appointed under section 30;",0,INTERPRETATION
3,AODA Definitions,"(“directeur”) “disability” means, any degree of physical disability, infirmity, malformation or disfigurement that is caused by bodily injury, birth defect or illness and, without limiting the generality of the foregoing, includes diabetes mellitus, epilepsy, a brain injury, any degree of paralysis, amputation, lack of physical co-ordination, blindness or visual impediment, deafness or hearing impediment, muteness or speech impediment, or physical reliance on a guide dog or other animal or on a wheelchair or other remedial appliance or device, a condition of mental impairment or a developmental disability, a learning disability, or a dysfunction in one or more of the processes involved in understanding or using symbols or spoken language, a mental disorder, or an injury or disability for which benefits were claimed or received under the insurance plan established under the Workplace Safety and Insurance Act, 1997; (“handicap”)",0,INTERPRETATION
4,AODA Definitions,"“Minister” means the Minister of Citizenship and Immigration or whatever other member of the Executive Council to whom the administration of this Act is assigned under the Executive Council Act; (“ministre”) “organization” means any organization in the public or private sector and includes, the Government of Ontario and any board, commission, authority or other agency of the Government of Ontario, any agency, board, commission, authority, corporation or other entity established under an Act, a municipality, an association, a partnership and a trade union, or any other prescribed type of entity; (“organisation”) “prescribed” means prescribed by regulation; (“prescrit”) “regulations” means the regulations made under this Act, unless the context indicates or requires otherwise; (“règlements”)",0,INTERPRETATION
5,AODA Definitions,“,0,INTERPRETATION
6,AODA Definitions,"Tribunal” means, with respect to an appeal of an order made by a director under this Act, the tribunal designated by the Lieutenant Governor in Council under section 26 for the purposes of hearing that appeal.",0,INTERPRETATION
7,AODA Definitions,"(“Tribunal”)  2005, c. 11, s. 2; 2009, c. 33, Sched. 8,",0,INTERPRETATION
8,AODA Definitions,"s. Section Amendments with date in force (d/m/y) 2009, c. 33, Sched.",0,INTERPRETATION
9,AODA Definitions,"8, s. 1 - 15/12/2009",0,INTERPRETATION
10,AODA Recognition of existing legal obligations,Nothing in this Act or in the regulations diminishes in any way the legal obligations of the Government of Ontario or of any person or organization with respect to persons with disabilities that are imposed under any other Act or otherwise imposed by law.   ,0,INTERPRETATION
11,AODA Recognition of existing legal obligations,part ii   application,0,INTERPRETATION
12,AODA Application,"Subsections 21 ,  and  and sections 22, 23, 24 and 25 apply with necessary modifications to an order made under subsection .",0,APPLICATION
13,AODA Crown bound,This Act binds the Crown.   ,0,APPLICATION
14,AODA Crown bound,part,0,APPLICATION
15,AODA Crown bound,iii   accessibility standards Establishment of Standards,0,APPLICATION
16,AODA Accessibility standards established by regulation,The Lieutenant Governor in Council may make regulations establishing accessibility standards.,0,ACCESSIBILITY STANDARDS
17,AODA Application of standards,An accessibility standard shall name or describe the persons or organizations to which it applies.,0,ACCESSIBILITY STANDARDS
18,AODA Same,"Subsections ,  and  apply with necessary modifications to a review under subsection .   ",0,ACCESSIBILITY STANDARDS
19,AODA Same,Omitted (amends or repeals other Acts).   ,0,ACCESSIBILITY STANDARDS
20,AODA Same,Omitted (provides for coming into force of provisions of this Act).   ,0,ACCESSIBILITY STANDARDS
21,AODA Same,Omitted (enacts short title of this Act).   ,0,ACCESSIBILITY STANDARDS
22,AODA Same,_,0,ACCESSIBILITY STANDARDS
23,AODA Same,_____________  ,0,ACCESSIBILITY STANDARDS
24,AODA Same,Français,0,ACCESSIBILITY STANDARDS
25,"AODA Same, Legislative Assembly",An accessibility standard that applies to the Legislative Assembly may impose obligations on the Speaker of the Assembly and may apply with respect to all or part of the Legislative Building or of such other offices that fall within the jurisdiction of the Legislative Assembly and are identified in the accessibility standard.,0,ACCESSIBILITY STANDARDS
26,AODA Several applicable standards,A person or organization may be subject to more than one accessibility standard.,0,ACCESSIBILITY STANDARDS
27,AODA Content of standards,"An accessibility standard shall, set out measures, policies, practices or other requirements for the identification and removal of barriers with respect to goods, services, facilities, accommodation, employment, buildings, structures, premises or such other things as may be prescribed, and for the prevention of the erection of such barriers; and require the persons or organizations named or described in the standard to implement those measures, policies, practices or other requirements within the time periods specified in the standard.",1,ACCESSIBILITY STANDARDS
28,AODA Classes,"A regulation under this section may create different classes of persons or organizations or of buildings, structures or premises and, without limiting the generality of this power, may create classes with respect to any attribute, quality or characteristic or any combination of those items, including, the number of persons employed by persons or organizations or their annual revenue; the type of industry in which persons or organizations are engaged or the sector of the economy of which persons or organizations are a part; the size of buildings, structures or premises.",0,ACCESSIBILITY STANDARDS
29,AODA Scope,A regulation under this section may be general or specific in its application and may be limited as to time and place.   ,0,ACCESSIBILITY STANDARDS
30,AODA Scope,"Section Amendments with date in force (d/m/y) 2016, c. 5, Sched.",0,ACCESSIBILITY STANDARDS
31,AODA Scope,"1,",0,ACCESSIBILITY STANDARDS
32,AODA Scope,s. 8 - 19/04/2016,0,ACCESSIBILITY STANDARDS
33,AODA Process for development of standards,The Minister is responsible for establishing and overseeing a process to develop and implement all accessibility standards necessary to achieving the purposes of this Act.,1,ACCESSIBILITY STANDARDS
34,AODA Standards development committees,"As part of the process referred to in section 7, the Minister shall establish standards development committees to develop proposed accessibility standards which shall be considered for adoption by regulation under section",1,ACCESSIBILITY STANDARDS
35,"AODA Responsibility for specified industries, etc.","Each standards development committee is responsible for, developing proposed accessibility standards for such industries, sectors of the economy or classes of persons or organizations as the Minister may specify; and further defining the persons or organizations that are part of the industry, sector of the economy or class specified by the Minister under clause (a).",0,ACCESSIBILITY STANDARDS
36,AODA Consultation with ministries,"Before establishing a standards development committee for a particular industry, sector of the economy or class of persons or organizations, the Minister shall consult with other ministers having responsibilities relating to that industry, sector or class of persons or organizations.",0,ACCESSIBILITY STANDARDS
37,AODA Composition of standards development committee,The Minister shall invite the following persons or entities to participate as members of a standards development committee: Persons with disabilities or their representatives.,1,ACCESSIBILITY STANDARDS
38,AODA Composition of standards development committee,"Representatives of the industries, sectors of the economy or classes of persons or organizations to which the accessibility standard is intended to apply.",0,ACCESSIBILITY STANDARDS
39,AODA Composition of standards development committee,"Representatives of ministries that have responsibilities relating to the industries, sectors of the economy or classes of persons or organizations to which the accessibility standard is intended to apply.",0,ACCESSIBILITY STANDARDS
40,AODA Composition of standards development committee,Such other persons or organizations as the Minister may consider advisable.,0,ACCESSIBILITY STANDARDS
41,AODA Participation of Council members,The Minister may invite members of the Accessibility Standards Advisory Council to participate as members of a standards development committee.,0,ACCESSIBILITY STANDARDS
42,AODA Terms of reference,The Minister shall fix terms of reference for each standards development committee and shall establish in the terms of reference the deadlines that each committee must meet throughout the various stages of the standards development process.,0,ACCESSIBILITY STANDARDS
43,AODA Committee members’ allowance,"The terms of reference may, provide for the Minister to pay members of a standards development committee an allowance for attendance at committee meetings and a reimbursement for expenses incurred by members in an amount that the Minister determines; and specify the circumstances in which the allowance or reimbursement may be paid.",0,ACCESSIBILITY STANDARDS
44,AODA Terms of reference made public,"After fixing the terms of reference under subsection , the Minister shall make the terms of reference available to the public by posting them on a government internet site and by such other means as the Minister considers advisable.",1,ACCESSIBILITY STANDARDS
45,AODA Minutes of meetings,A standards development committee shall keep minutes of every meeting it holds and shall make the minutes available to the public by posting them on a government internet site and by such other means as the terms of reference may provide.,1,ACCESSIBILITY STANDARDS
46,AODA Development of proposed standards,Each standards development committee shall develop proposed accessibility standards in accordance with the process set out in this section and with the terms of reference established by the Minister.,1,ACCESSIBILITY STANDARDS
47,AODA Determination of long-term objectives,"Promptly after its establishment, each standards development committee shall determine the long-term accessibility objectives for the industry, sector of the economy or class of persons or organizations in relation to which the committee has responsibilities under subsection 8 , by identifying the measures, policies, practices and requirements that it believes should be implemented by the members of the industry, sector or class on or before January 1, 20",1,ACCESSIBILITY STANDARDS
